GROUP,VOLT_FLAG,SURVEY_ID,SCORE,LTR_COMMENT,PRIMARY_REASON,MONTH,CONNECTION_TIME,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE,VOLT_FLAG_BINARY,TREATMENT_BINARY
control,,352240580,10,Good package,,2023-03-01,10,10,8,10,10,10,0,0
control,,351702901,10,Great communication,"Customer Service,General,UK Legacy",2023-03-01,9,10,10,10,10,10,0,0
control,,351663800,9,,,2023-03-01,10,7,10,9,10,8,0,0
control,,351734954,10,Amazing service and job completed,"Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,0,0
control,,352314436,10,Goo service,General,2023-03-01,10,10,10,10,10,10,0,0
control,,351806159,10,"The guy I spoke to was very helpful, give me a fantastic deal, and I'm looking forward to receiving my box .. the only downfall is the waiting time of just over two weeks but I'm sure it will be worth the wait.","General,Pricing,TV,TV/Video,UK Legacy",2023-03-01,10,5,10,10,10,10,0,0
control,,352411785,9,good but it is early days yet,,2023-03-01,10,0,10,10,10,8,0,0
control,,352568431,10,,,2023-03-01,10,6,8,10,10,7,0,0
control,,352538390,10,,,2023-03-01,10,10,10,10,10,9,0,0
control,,352004478,8,On the phone was a helpful fella all my questions and got me up and running in very little time and better internet around my area,"Customer Service,Sales,UK Legacy,Deepdive",2023-03-01,9,9,8,9,10,7,0,0
control,,352216698,10,Hood customer service,,2023-03-01,10,10,10,10,10,10,0,0
control,,352250385,10,"We have not been set up yet, but speaking to Ashley very informative and pleasant. On Saturday the chaps came a day did the road to house infrastructure, which was satisfactory. Today site management checked everything was installed satisfactory and we're we happy.","Customer Service,Sales,Technician",2023-03-01,10,10,10,10,10,10,0,0
control,,351741926,10,,,2023-03-01,2,10,2,2,2,10,0,0
control,,352865924,5,,,2023-03-01,3,10,2,3,3,5,0,0
control,,352880898,10,They were friendly and easy to talk to. They understood what I wanted and happy to help.,,2023-03-01,9,9,8,9,9,9,0,0
control,,352004288,1,"Higher speed than SKY.but connection disappointed.We have connected 3x TV,1 tablet ,3 mobile phones via WIFI but rubbish signal.Restarted router,lights are ok, WiFi poor.no good.Engineer was helpfull done his work correctly no complaint.","Mobile,Mobile Service,Reliability GeneralAlert,Equipment,General,Internet,Internet Service,Reliability GeneralUK Legacy,UK Legacy",2023-03-01,9,5,10,9,9,1,0,0
control,,352444022,0,"Very difficult to talk to anyone, very expensive, always an IT problem, too many calls, lots of mistakes took place with my name, dates leaving or moving in, misleading advertising in such that it appears cheaper than what it actually costs. Sorry if that is too negative, however this is an accurate reflection of company. You do however have fast and mostly reliable internet","Deepdive,General,Internet,Internet Service,Pricing,Reliability GeneralUK Legacy,UK Legacy",2023-03-01,0,4,10,1,7,7,0,0
control,,353070715,7,It was explained so I could understand what was being said to me thank u to the lady I spoke to,,2023-03-01,10,10,10,10,10,10,0,0
control,,353080849,9,Friendly and efficient help,,2023-03-01,8,9,8,8,8,9,0,0
control,,352927079,9,,,2023-03-01,10,8,10,8,10,9,0,0
control,,353252523,7,"Polite. Could have be more skilled in providing guidance, eg: What is the minimum amount of broadband mbps working from home and video conferencing requires, instead of pretending to know.","Customer Service,Deepdive,Test",2023-03-01,8,8,8,7,8,8,0,0
control,,353234948,10,I was impressed with company but decided to stay with sky,"Customer Service,Technician,Brand,UK Legacy",2023-03-01,10,0,0,10,10,10,0,0
control,,353247075,9,The customer service for a new customer was excellent.,"Customer Service,General,Pricing,UK Legacy",2023-03-01,9,9,9,9,9,9,0,0
control,,353525697,9,Helpful advisor,"Customer Service,General,UK Legacy",2023-03-01,9,7,9,9,9,8,0,0
control,,353592969,10,"The chap who dealt with me was friendly, professional and efficient. All my questions were answered promptly and I feel reassured that I will get good service in future.","Customer Service,General,Technician",2023-03-01,10,,10,10,10,10,0,0
control,,352893991,0,Very bad,,2023-03-01,0,0,0,0,0,0,0,0
control,,353580490,10,Excellent on line service,"Customer Service,General",2023-03-01,10,10,10,10,10,10,0,0
control,,353627863,4,Was promised a call back to change direct debit details but no call received,Billing,2023-03-01,5,8,0,5,5,8,0,0
control,,353618570,10,,,2023-03-01,10,10,10,10,10,10,0,0
