GROUP,VOLT_FLAG,SURVEY_ID,SCORE,LTR_COMMENT,PRIMARY_REASON,MONTH,CONNECTION_TIME,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE,VOLT_FLAG_BINARY,TREATMENT_BINARY,LTR_COMMENT_CLEAN,SENTIMENT_SCORE,SENTIMENT_MAGNITUDE,topics_assigned,substantive_topics,num_topics_assigned
control,,352240580,10,Good package,,2023-03-01,10,10,8,10,10,10,0,0,Good package,0.800000011920929,0.800000011920929,[],[],0
control,yes,351664275,10,Very good customer service,"Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0,Very good customer service,0.8999999761581421,0.8999999761581421,['1_customer_service_good_excellent'],['Overall Customer Service Quality'],1
control,yes,351723391,10,"So far so good. Charlie was very efficient and helpful. Let¬""s hope it continues so. I am confident it will",,2023-03-01,10,,10,10,10,10,1,0,So far so good. Charlie was very efficient and helpful. Let's hope it continues so. I am confident it will,0.699999988079071,3.0,['1_customer_service_good_excellent'],['Overall Customer Service Quality'],1
control,,351702901,10,Great communication,"Customer Service,General,UK Legacy",2023-03-01,9,10,10,10,10,10,0,0,Great communication,0.8999999761581421,0.8999999761581421,[],[],0
control,yes,352243612,10,Because Chris was amazing when she contacted me after I had put my details online.,"Customer Service,UK Legacy",2023-03-01,10,,10,10,10,10,1,0,Because Chris was amazing when she contacted me after I had put my details online.,0.5,0.5,['5_phone_50_internet_number'],['Phone Support and Account Management'],1
control,,351663800,9,,,2023-03-01,10,7,10,9,10,8,0,0,,,,[],[],0
control,yes,351719094,3,Price of my bundle went up 2 days after i placed the order,"General,Pricing,UK Legacy",2023-03-01,6,6,6,4,6,6,1,0,Price of my bundle went up 2 days after i placed the order,-0.5,0.5,"['4_days_home_told_day', '8_broadband_company_april_media']","['Service Delivery and Scheduling Issues', 'Broadband Service and Connectivity']",2
control,yes,352289348,9,Simple and straightforward process but a lot of information and things to remember over the phone.,,2023-03-01,9,,,10,10,9,1,0,Simple and straightforward process but a lot of information and things to remember over the phone.,0.699999988079071,0.699999988079071,"['5_phone_50_internet_number', '13_needed_friendly_contract_competence']","['Phone Support and Account Management', 'Professional Service Standards']",2
control,,351734954,10,Amazing service and job completed,"Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,0,0,Amazing service and job completed,0.8999999761581421,0.8999999761581421,"['1_customer_service_good_excellent', '6_quick_efficient_service_coverage']","['Overall Customer Service Quality', 'Service Speed and Network Coverage']",2
control,,352314436,10,Goo service,General,2023-03-01,10,10,10,10,10,10,0,0,Goo service,0.800000011920929,0.800000011920929,[],[],0
control,yes,351660569,9,,,2023-03-01,10,8,6,10,10,5,1,0,,,,[],[],0
control,,351806159,10,"The guy I spoke to was very helpful, give me a fantastic deal, and I'm looking forward to receiving my box .. the only downfall is the waiting time of just over two weeks but I'm sure it will be worth the wait.","General,Pricing,TV,TV/Video,UK Legacy",2023-03-01,10,5,10,10,10,10,0,0,"The guy I spoke to was very helpful, give me a fantastic deal, and I'm looking forward to receiving my box .. the only downfall is the waiting time of just over two weeks but I'm sure it will be worth the wait.",0.800000011920929,0.800000011920929,[],[],0
control,yes,351769079,9,,,2023-03-01,10,8,7,10,10,5,1,0,,,,[],[],0
control,yes,351783636,10,The work we have had done so far has been done to a high standard. Both the phone agent and the people who came to our house were very professional and polite. Would definitely recommend.,"Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0,The work we have had done so far has been done to a high standard. Both the phone agent and the people who came to our house were very professional and polite. Would definitely recommend.,0.8999999761581421,2.799999952316284,"['11_agent_helpful_start_polite', '13_needed_friendly_contract_competence']","['Sales Agent Performance and Process', 'Professional Service Standards']",2
control,yes,352519049,10,Great service from Tony,General,2023-03-01,10,10,10,10,10,10,1,0,Great service from Tony,0.800000011920929,0.800000011920929,[],[],0
control,yes,351948395,0,"Two days on what¬""s ap.",,2023-03-01,0,0,0,0,0,0,1,0,Two days on what's ap.,0.0,0.0,[],[],0
